,종목명,2020지배구조,2021지배구조,2022지배구조,2023지배구조,2024지배구조,종목코드,시장구분,업종명,시가총액
764,LIG넥스원,A,A,A,A,A,79550.0,KOSPI,기계,3489200000000.0
765,LS에코에너지,B+,B+,B,B,B,229640.0,KOSPI,기타금융,600248000000.0
766,SK디앤디,B+,A,A,A,A,210980.0,KOSPI,서비스업,199643000000.0
767,경보제약,B,B+,B+,B+,B+,214390.0,KOSPI,의약품,177867000000.0
768,금호에이치티,C,B,D,D,D,214330.0,KOSPI,운수장비,128776000000.0
769,삼일씨엔에스,B+,B+,D,D,D,4440.0,KOSPI,비금속광물,56084226535.0
770,동서,C,B,D,D,D,26960.0,KOSPI,유통업,1847440000000.0
771,동일제강,B,B,C,C,C,2690.0,KOSPI,철강금속,36682750520.0
772,두산밥캣,A,A,B+,A,A,241560.0,KOSPI,기계,5363330000000.0
773,두올,B+,B+,C,D,D,16740.0,KOSPI,운수장비,117883000000.0
774,삼성바이오로직스,B+,A,A,A+,A+,207940.0,KOSPI,의약품,57081500000000.0
775,샘표식품,C,B,C,D,D,248170.0,KOSPI,음식료품,126998000000.0
776,세진중공업,B+,B+,C,C,C,75580.0,KOSPI,운수장비,400789000000.0
777,다이나믹디자인,C,C,C,D,D,145210.0,KOSPI,기계,120070000000.0
778,HDC랩스,B,B+,D,C,C,39570.0,KOSPI,건설업,209997000000.0
779,용평리조트,B,B,D,D,D,70960.0,KOSPI,서비스업,134292000000.0
780,이노션,A,A,B+,B+,B+,214320.0,KOSPI,서비스업,876000000000.0
781,일동제약,B+,A,B,B,B,249420.0,KOSPI,의약품,416167000000.0
782,잇츠한불,B,B+,B,B,B,226320.0,KOSPI,화학,260520000000.0
783,제이에스코퍼레이션,B+,B+,B,C,C,194370.0,KOSPI,기타제조업,248976000000.0
784,제주항공,B+,B+,B+,B+,B+,89590.0,KOSPI,운수창고업,874955000000.0
786,토니모리,B+,B+,B+,B,B,214420.0,KOSPI,화학,195084000000.0
787,한국자산신탁,C,C,B,B,B,123890.0,KOSPI,기타금융,380612000000.0
788,한국토지신탁,C,C,C,B,B,34830.0,KOSPI,기타금융,254004000000.0
789,한솔제지,A,A,B+,A,A,213500.0,KOSPI,종이목재,243956000000.0
790,해성디에스,A,A,B+,B+,B+,195870.0,KOSPI,전기전자,802400000000.0
791,해태제과식품,B,B+,C,D,D,101530.0,KOSPI,음식료품,153154000000.0
792,핸즈코퍼레이션,B+,B+,D,D,D,143210.0,KOSPI,운수장비,61470849070.0
793,현대코퍼레이션홀딩스,B,B+,B+,B+,B+,227840.0,KOSPI,유통업,98380037160.0
794,화승엔터프라이즈,A,A,A,B+,B+,241590.0,KOSPI,기타제조업,553786000000.0
795,셀트리온,B+,B+,B,C,C,68270.0,KOSPI,의약품,38965500000000.0
801,카카오,A,A,A,B+,B+,35720.0,KOSPI,서비스업,21817000000000.0
806,HDC,B+,A,C,B,B,12630.0,KOSPI,기타금융,523935000000.0
810,BGF리테일,A,A,A,A,A,282330.0,KOSPI,유통업,2231350000000.0
812,F&F홀딩스,C,B+,B,B+,B+,7700.0,KOSPI,기타금융,574590000000.0
813,HD한국조선해양,A,A,B+,A,A,9540.0,KOSPI,기타금융,8443230000000.0
814,HD현대,A,A,A,B+,B+,267250.0,KOSPI,기타금융,4929170000000.0
815,HD현대건설기계,A,A,A,A,A,267270.0,KOSPI,기계,1020500000000.0
816,HD현대일렉트릭,A,A,B+,A,A,267260.0,KOSPI,전기전자,8200720000000.0
817,LX세미콘,B+,B+,B+,B+,B+,108320.0,KOSPI,전기전자,1244220000000.0
818,LX인터내셔널,A,A,A,B,B,1120.0,KOSPI,유통업,1025200000000.0
819,NICE평가정보,B,B,-,-,-,30190.0,KOSPI,서비스업,634136000000.0
820,OCI홀딩스,A,A,A,A,A,10060.0,KOSPI,화학,1825340000000.0
821,PI첨단소재,B+,B+,-,B,B,178920.0,KOSPI,화학,554142000000.0
822,SK케미칼,B+,A,A,A,A,285130.0,KOSPI,화학,1009350000000.0
823,경동도시가스,B+,A,B,D,D,267290.0,KOSPI,전기가스업,114017000000.0
824,넷마블,B+,A,B,B+,B+,251270.0,KOSPI,서비스업,5036880000000.0
825,대덕,A,A,B,B,B,8060.0,KOSPI,기타금융,207747000000.0
826,더블유게임즈,B+,B+,B+,B+,B+,192080.0,KOSPI,서비스업,900678000000.0
827,덴티움,B+,B+,D,D,D,145720.0,KOSPI,의료정밀,1516430000000.0
828,동국홀딩스,B,B+,B,B+,B+,1230.0,KOSPI,철강금속,263944000000.0
829,동아타이어,B,B+,C,D,D,282690.0,KOSPI,화학,163972000000.0
830,동양피스톤,B+,B+,D,D,D,92780.0,KOSPI,운수장비,60377389100.0
831,롯데웰푸드,B+,A,A,B+,B+,280360.0,KOSPI,음식료품,1246310000000.0
832,롯데이노베이트,A,A,A,A,A,286940.0,KOSPI,서비스업,501151000000.0
834,미원에스씨,B,B+,B,C,C,268280.0,KOSPI,화학,693500000000.0
835,비에이치,C,B+,-,-,-,90460.0,KOSPI,전기전자,550051000000.0
836,비케이탑스,D,C,D,D,D,30790.0,KOSPI,서비스업,19208323080.0
837,삼양패키징,C,B+,B,C,C,272550.0,KOSPI,화학,273776000000.0
838,성안머티리얼스,B,C,B,D,D,11300.0,KOSPI,섬유의복,90870699080.0
839,세아제강지주,B,B+,B,B+,B+,3030.0,KOSPI,기타금융,882173000000.0
840,CR홀딩스,C,B,D,D,D,480.0,KOSPI,비금속광물,268683000000.0
841,아시아나IDT,C,D,C,D,D,267850.0,KOSPI,서비스업,174381000000.0
842,애경산업,B,B+,B+,A,A,18250.0,KOSPI,화학,530840000000.0
844,SK바이오팜,-,-,A,A,A,326030.0,KOSPI,서비스업,6593980000000.0
845,에어부산,C,D,D,D,D,298690.0,KOSPI,운수창고업,310262000000.0
847,엘앤에프,B,B+,-,-,-,66970.0,KOSPI,전기전자,5554420000000.0
848,오리온,A,B+,A,B+,B+,271560.0,KOSPI,음식료품,3657090000000.0
849,우진아이엔에스,B+,B+,B,B,B,10400.0,KOSPI,건설업,33308140000.0
850,제일약품,B,B,D,D,D,271980.0,KOSPI,의약품,244983000000.0
851,진에어,A,A,A,A,A,272450.0,KOSPI,운수창고업,716706000000.0
852,케이씨텍,B,B,B,B,B,281820.0,KOSPI,의료정밀,740585000000.0
853,콘텐트리중앙,B,C,D,D,D,36420.0,KOSPI,서비스업,278148000000.0
854,콜마홀딩스,B,A,B+,A,A,24720.0,KOSPI,기타금융,305922000000.0
855,쿠쿠홈시스,C,B+,B,D,D,284740.0,KOSPI,서비스업,502596000000.0
856,크라운제과,B,B+,C,C,C,264900.0,KOSPI,음식료품,101944000000.0
857,테이팩스,B,B+,B,B+,B+,55490.0,KOSPI,화학,100296000000.0
858,티웨이항공,B,B,B,B,B,91810.0,KOSPI,운수창고업,575062000000.0
859,포스코DX,B+,A,-,-,-,22100.0,KOSPI,서비스업,6294240000000.0
860,포스코퓨처엠,B+,B+,B,A,A,3670.0,KOSPI,전기전자,21457300000000.0
861,하나제약,B+,B+,B,C,C,293480.0,KOSPI,의약품,234603000000.0
862,한일홀딩스,B+,B,D,B+,B+,3300.0,KOSPI,비금속광물,384794000000.0
863,현대지에프홀딩스,A,A,A,A,A,5440.0,KOSPI,기타금융,730412000000.0
864,호전실업,B+,B+,C,B,B,111110.0,KOSPI,섬유의복,72247381440.0
865,화승코퍼레이션,B+,B+,B,B+,B+,13520.0,KOSPI,운수장비,87539639748.0
866,효성중공업,A,A,B+,B+,B+,298040.0,KOSPI,전기전자,2582900000000.0
867,효성첨단소재,A,A,A,A,A,298050.0,KOSPI,화학,1520940000000.0
868,효성티앤씨,A,A,B+,B+,B+,298020.0,KOSPI,화학,1529840000000.0
869,효성화학,A,A,B+,B+,B+,298000.0,KOSPI,화학,221063000000.0
